Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId,pitch handedness,handedness
2021,Anthony Rendon,LAA,80,0.15,0.1125,1.33333333,0.19402985,0.3125,0.32835821,0.64085821,0.13432836,0.19298246,7.627526016,-2.060186772,0.283283521,77.18501649,12861,right,left
2021,Francisco Lindor,NYM,164,0.09146341,0.13414634,0.68181818,0.23972603,0.31055901,0.40410959,0.7146686,0.16438356,0.25210084,18.98959015,-0.870221065,0.307996276,97.40220632,12916,right,left
2021,Phillip Evans,PIT,74,0.13513514,0.2027027,0.66666667,0.24193548,0.36486486,0.30645161,0.67131647,0.06451613,0.30434783,8.452325727,-0.508808602,0.306099176,90.85825282,12950,right,left
2021,Austin Hedges,CLE,92,0.05434783,0.2826087,0.19230769,0.17857143,0.22222222,0.3452381,0.56746032,0.16666667,0.2,5.71357455,-5.427295157,0.243107071,50.31894698,12976,right,left
2021,Javier Baez,2 Tms,144,0.09027778,0.29861111,0.30232558,0.29133858,0.375,0.5511811,0.9261811,0.25984252,0.37333333,26.65096174,9.213078721,0.39186382,147.7556577,12979,right,left
2021,Teoscar Hernandez,TOR,140,0.05714286,0.2,0.28571429,0.37209302,0.40714286,0.74418605,1.15132891,0.37209303,0.3956044,35.4152205,18.46172312,0.47379745,202.6841242,13066,right,left
2021,Josh Bell,WSN,182,0.16483516,0.13736264,1.2,0.24503311,0.36813187,0.47019868,0.83833055,0.22516557,0.23728814,29.27030447,7.230757877,0.362429877,124.9646953,13145,right,left
2021,Jorge Polanco,MIN,211,0.03791469,0.16113744,0.23529412,0.27272727,0.30805687,0.49494949,0.80300636,0.22222222,0.2866242,29.77383702,4.222494539,0.338597635,114.9292424,13152,right,left
2021,Mike Zunino,TBR,129,0.10852713,0.27906977,0.38888889,0.34210526,0.41860465,0.86842105,1.2870257,0.52631579,0.37096774,37.50404521,21.88260834,0.519440952,242.495037,13265,right,left
2021,Stephen Piscotty,OAK,99,0.08080808,0.17171717,0.47058824,0.25555556,0.32323232,0.38888889,0.71212121,0.13333333,0.29577465,11.80487785,-0.183666723,0.31216743,101.0091284,13367,right,left
2021,Erik Gonzalez,PIT,73,0.06849315,0.15068493,0.45454545,0.29411765,0.34246575,0.41176471,0.75423046,0.11764706,0.32727273,9.723654678,0.883616759,0.329040037,105.7622179,13369,right,left
2021,Christian Walker,ARI,142,0.12676056,0.19014085,0.66666667,0.23966942,0.34507042,0.31404959,0.65912001,0.07438017,0.30526316,15.21870588,-1.976984319,0.297582069,82.52474074,13419,right,left
2021,Tom Murphy,SEA,173,0.15028902,0.28901734,0.52,0.23239437,0.35672515,0.43661972,0.79334487,0.20422535,0.29411765,25.55854599,4.60886708,0.346609993,125.0176573,13499,right,left
2021,Jose Ramirez,CLE,211,0.09004739,0.13270142,0.67857143,0.28947368,0.35545024,0.52631579,0.88176603,0.23684211,0.28947368,34.92648214,9.375139663,0.368113687,134.7692826,13510,right,left
2021,Jose Peraza,NYM,67,0.04477612,0.1641791,0.27272727,0.17460317,0.2238806,0.38095238,0.60483298,0.20634921,0.16326531,4.997790038,-3.115669422,0.258203225,65.05320648,13593,right,left
2021,Patrick Wisdom,CHC,118,0.12711864,0.44067797,0.28846154,0.22330097,0.3220339,0.50485437,0.82688827,0.2815534,0.34883721,17.58482312,3.295446757,0.348165155,116.2038842,13602,right,left
2021,Mookie Betts,LAD,147,0.14285714,0.19727891,0.72413793,0.26612903,0.37414966,0.48387097,0.85802063,0.21774194,0.3,24.17660737,6.375435122,0.366830513,132.16317,13611,right,left
2021,Ketel Marte,ARI,115,0.06086957,0.12173913,0.5,0.38679245,0.43478261,0.73584906,1.17063167,0.34905661,0.39285714,29.87313836,15.94705123,0.482017135,202.3464808,13613,right,left
2021,Carson Kelly,ARI,134,0.14179104,0.14179104,1,0.3125,0.41044776,0.60714286,1.01759062,0.29464286,0.30232558,28.23879174,12.01187282,0.422756675,163.8467983,13620,right,left
2021,Jeimer Candelario,DET,173,0.05780347,0.21965318,0.26315789,0.27329193,0.32369942,0.42857143,0.75227085,0.1552795,0.34166667,22.43437452,1.484695619,0.324782731,105.4650028,13621,right,left
2021,Tyrone Taylor,MIL,89,0.03370787,0.24719101,0.13636364,0.29761905,0.33707865,0.5,0.83707865,0.20238095,0.35087719,13.98412231,3.206541828,0.357956707,122.4276241,13675,right,left
2021,Jacob Stallings,PIT,151,0.09271523,0.19205298,0.48275862,0.2,0.27152318,0.32592593,0.59744911,0.12592593,0.22115385,11.88655775,-6.39900014,0.263189074,62.98089081,13723,right,left
2021,Chris Taylor,LAD,170,0.1,0.3,0.33333333,0.29605263,0.37058824,0.52631579,0.89690403,0.23026316,0.41052632,29.79802687,9.211637194,0.379903322,140.6561682,13757,right,left
2021,Rob Refsnyder,MIN,64,0.125,0.21875,0.57142857,0.30357143,0.390625,0.39285714,0.78348214,0.08928571,0.3902439,9.577092441,1.82692221,0.348912293,121.8974843,13770,right,left
2021,Kevin Plawecki,BOS,78,0.06410256,0.11538462,0.55555556,0.30985915,0.37179487,0.42253521,0.79433008,0.11267606,0.33333333,11.67765607,2.232136103,0.348998677,117.5685094,13807,right,left
2021,Matt Duffy,CHC,102,0.10784314,0.14705882,0.73333333,0.26966292,0.3627451,0.31460674,0.67735184,0.04494382,0.32432432,11.96355274,-0.388281067,0.309808747,91.28491558,13836,right,left
2021,Eric Haase,DET,127,0.04724409,0.2992126,0.15789474,0.28333333,0.31496063,0.59166667,0.9066273,0.30833334,0.31944444,21.96587349,6.586629435,0.377095712,140.8059226,14111,right,left
2021,Byron Buxton,MIN,86,0.04651163,0.25581395,0.18181818,0.325,0.37209302,0.625,0.99709302,0.3,0.39622642,17.80079144,7.386500193,0.418222556,168.721206,14161,right,left
2021,Carlos Correa,HOU,221,0.14479638,0.14479638,1,0.29032258,0.39819005,0.44623656,0.84442661,0.15591398,0.32666667,36.62227077,9.859964193,0.368335215,137.5602337,14162,right,left
2021,Jorge Soler,2 Tms,168,0.13095238,0.25,0.52380952,0.22377622,0.33532934,0.51048951,0.84581885,0.28671329,0.2247191,26.68947725,6.345280392,0.360086253,125.5865494,14221,right,left
2021,Mitch Haniger,SEA,229,0.09170306,0.22707424,0.40384615,0.28571429,0.34934498,0.57142857,0.92077355,0.28571428,0.30215827,40.34129354,12.61021569,0.380967373,148.228367,14274,right,left
2021,Wilmer Difo,PIT,67,0.04477612,0.29850746,0.15,0.234375,0.26865672,0.28125,0.54990672,0.046875,0.34090909,4.211141183,-3.902318277,0.244012108,50.5222106,14320,right,left
2021,Lewis Brinson,MIA,96,0.0625,0.27083333,0.23076923,0.25555556,0.30208333,0.44444444,0.74652777,0.18888888,0.31666667,12.04578047,0.420525128,0.319704369,102.9497604,14352,right,left
2021,Harold Ramirez,CLE,126,0.05555556,0.15079365,0.36842105,0.28813559,0.33333333,0.44067797,0.7740113,0.15254238,0.32989691,17.27893632,2.020788682,0.333794571,111.5844228,14387,right,left
2021,Pedro Severino,BAL,161,0.07453416,0.21118012,0.35294118,0.29251701,0.34161491,0.47619048,0.81780539,0.18367347,0.33333333,24.08680761,4.590285619,0.348870511,120.1843721,14523,right,left
2021,Anthony Santander,BAL,157,0.04458599,0.31210191,0.14285714,0.25675676,0.29299363,0.40540541,0.69839904,0.14864865,0.35416667,17.14381692,-1.86831943,0.300026379,87.18689194,14551,right,left
2021,Franmil Reyes,CLE,146,0.12328767,0.29452055,0.41860465,0.25984252,0.35616438,0.51968504,0.87584942,0.25984252,0.32,23.98923372,6.309157877,0.366640875,133.7742997,14566,right,left
2021,David Bote,CHC,100,0.09,0.25,0.36,0.21348315,0.29,0.41573034,0.70573034,0.20224719,0.24590164,11.16465778,-0.94498321,0.302987992,86.8536825,14593,right,left
2021,Manuel Margot,TBR,209,0.09569378,0.12440191,0.76923077,0.27272727,0.34615385,0.40641711,0.75257096,0.13368984,0.29936306,27.34373628,2.034586616,0.326176105,111.9316978,14712,right,left
2021,Yu Chang,CLE,132,0.04545455,0.27272727,0.16666667,0.22580645,0.26515152,0.40322581,0.66837733,0.17741936,0.28235294,12.71440819,-3.270317906,0.28446464,78.25875253,14773,right,left
2021,Luke Voit,NYY,92,0.10869565,0.25,0.43478261,0.25925926,0.34782609,0.40740741,0.7552335,0.14814815,0.32727273,12.47093104,1.330061338,0.331883873,111.192013,14811,right,left
2021,Kyle Farmer,CIN,122,0.04918033,0.16393443,0.3,0.25663717,0.31147541,0.47787611,0.78935152,0.22123894,0.25581395,17.08509618,2.311334176,0.337308628,105.2858503,14813,right,left
2021,Pat Valaika,BAL,113,0.07079646,0.21238938,0.33333333,0.21359223,0.26548673,0.29126214,0.55674887,0.07766991,0.25316456,7.333871191,-6.350023123,0.246488279,51.01832222,14885,right,left
2021,Victor Caratini,SDP,76,0.05263158,0.30263158,0.17391304,0.27142857,0.31578947,0.32857143,0.6443609,0.05714286,0.38297872,6.680728264,-2.522598885,0.274291254,72.97180548,14968,right,left
2021,Hunter Dozier,KCR,158,0.11392405,0.29746835,0.38297872,0.20437956,0.30379747,0.33576642,0.63956389,0.13138686,0.28409091,15.39152541,-3.741707345,0.285786261,77.3801757,15117,right,left
2021,Trey Mancini,BAL,223,0.09865471,0.20627803,0.47826087,0.28787879,0.3632287,0.53535354,0.89858224,0.24747475,0.32394366,38.74877134,11.74427194,0.378064676,139.9069846,15149,right,left
2021,Mitch Garver,MIN,105,0.0952381,0.3047619,0.3125,0.21505376,0.28571429,0.4516129,0.73732719,0.23655914,0.24561404,12.46746981,-0.247653224,0.311559003,96.66283664,15161,right,left
2021,Tim Anderson,CHW,143,0.03496503,0.20979021,0.16666667,0.31884058,0.34265734,0.48550725,0.82816459,0.16666667,0.38461538,21.70060687,4.38382026,0.351463118,124.500966,15172,right,left
2021,Chad Pinder,OAK,114,0.0877193,0.23684211,0.37037037,0.29126214,0.35964912,0.52427184,0.88392096,0.2330097,0.35211268,19.62353085,5.818540124,0.376100489,144.2001886,15191,right,left
2021,Garrett Cooper,MIA,71,0.08450704,0.28169014,0.3,0.34375,0.4084507,0.5625,0.9709507,0.21875,0.45,14.49154744,5.893702345,0.414741994,164.6927567,15279,right,left
2021,Frank Schwindel,2 Tms,80,0.1125,0.1375,0.81818182,0.32394366,0.4,0.67605634,1.07605634,0.35211268,0.31481481,18.0665176,8.37880481,0.440093331,177.4665163,15351,right,left
2021,Jack Mayfield,2 Tms,103,0.06796117,0.22330097,0.30434783,0.22340426,0.2815534,0.41489362,0.69644702,0.19148936,0.23880597,11.12040416,-1.352526052,0.298538258,88.61858851,15402,right,left
2021,Kris Bryant,2 Tms,153,0.12418301,0.24836601,0.5,0.28358209,0.37254902,0.53731343,0.90986245,0.25373134,0.33333333,26.61856816,8.090817452,0.381048796,137.5149095,15429,right,left
2021,Hunter Renfroe,BOS,207,0.11594203,0.19806763,0.58536585,0.27624309,0.36231884,0.51933702,0.88165586,0.24309393,0.3,35.4785236,10.41156676,0.375203165,135.2713944,15464,right,left
2021,Aristides Aquino,CIN,98,0.15306122,0.28571429,0.53571429,0.19753086,0.31632653,0.44444444,0.76077097,0.24691358,0.20408163,12.48713505,0.619686888,0.322052667,95.37452561,15482,right,left
2021,Victor Reyes,DET,69,0.04347826,0.20289855,0.21428571,0.32307692,0.35294118,0.50769231,0.86063349,0.18461539,0.3877551,11.33580625,2.980153972,0.36661335,133.7243858,15487,right,left
2021,Amed Rosario,CLE,188,0.06382979,0.17553191,0.36363636,0.3125,0.35638298,0.48295455,0.83933753,0.17045455,0.36231884,29.80476676,7.038641705,0.35966218,129.0597241,15518,right,left
2021,Willians Astudillo,MIN,87,0.02298851,0.05747126,0.4,0.24096386,0.26436782,0.39759036,0.66195818,0.1566265,0.22368421,8.190486082,-2.344901576,0.281832435,76.58055033,15608,right,left
2021,Aaron Judge,NYY,188,0.12765957,0.23404255,0.54545455,0.29813665,0.39361702,0.59627329,0.98989031,0.29813664,0.32038835,38.36498236,15.5988573,0.414696974,167.1378055,15640,right,left
2021,Jose Abreu,CHW,153,0.07189542,0.18954248,0.37931034,0.29411765,0.36601307,0.60294118,0.96895425,0.30882353,0.29896907,30.03269487,11.50494417,0.405297171,160.8694716,15676,right,left
2021,Tyler O'Neill,STL,98,0.13265306,0.28571429,0.46428571,0.28915663,0.3877551,0.63855422,1.02630932,0.34939759,0.34693878,20.79683225,8.92938408,0.424539863,170.9261063,15711,right,left
2021,Yonathan Daza,COL,117,0.05982906,0.1965812,0.30434783,0.2962963,0.33913043,0.38888889,0.72801932,0.09259259,0.36904762,14.54215338,0.373873423,0.318272121,84.88225034,15794,right,left
2021,Miguel Andujar,NYY,66,0.04545455,0.24242424,0.1875,0.22222222,0.25757576,0.33333333,0.59090909,0.11111111,0.26666667,4.888559891,-3.103803159,0.257568921,60.98728914,15878,right,left
2021,Luis Torrens,SEA,151,0.05298013,0.22516556,0.23529412,0.27464789,0.31125828,0.54225352,0.8535118,0.26760563,0.3,23.33576472,5.050206834,0.354834111,130.5735998,15905,right,left
2021,Aledmys Diaz,HOU,110,0.06363636,0.17272727,0.36842105,0.26470588,0.31818182,0.47058824,0.78877006,0.20588236,0.29113924,15.0819335,1.761328412,0.333763231,114.2045451,15937,right,left
2021,Austin Nola,SDP,75,0.06666667,0.09333333,0.71428571,0.34782609,0.38666667,0.43478261,0.82144928,0.08695652,0.38095238,11.68907129,2.606840552,0.356420858,126.3288606,15941,right,left
2021,Clint Frazier,NYY,82,0.15853659,0.32926829,0.48148148,0.1884058,0.31707317,0.24637681,0.56344998,0.05797101,0.29268293,6.72682907,-3.203076538,0.267196536,67.49138742,15983,right,left
2021,Willy Adames,2 Tms,168,0.11309524,0.30952381,0.36538462,0.23489933,0.32142857,0.44966443,0.771093,0.2147651,0.30337079,22.55400577,2.209808916,0.330171702,107.2325104,15986,right,left
2021,Austin Slater,SFG,193,0.10880829,0.19170984,0.56756757,0.28402367,0.37305699,0.52071006,0.89376705,0.23668639,0.31147541,33.697934,10.3263269,0.379079225,140.5234679,16153,right,left
2021,J.D. Davis,NYM,65,0.15384615,0.35384615,0.43478261,0.24074074,0.35384615,0.33333333,0.68717948,0.09259259,0.38709677,7.35335491,-0.517911731,0.304779203,95.31217383,16219,right,left
2021,Trea Turner,2 Tms,167,0.06586826,0.11377246,0.57894737,0.39215686,0.43712575,0.7124183,1.14954405,0.32026144,0.39516129,42.75269977,22.52959932,0.477325785,201.183724,16252,right,left
2021,Oscar Mercado,CLE,98,0.1122449,0.14285714,0.78571429,0.29411765,0.3814433,0.43529412,0.81673742,0.14117647,0.33333333,15.41164435,3.544196189,0.358121943,128.0191905,16375,right,left
